,c.rand.,block_plot,ID,height_cm,Number_of_leaves
1,PLE_02-02,Block1_N_abs,1,3.1,5
2,PLE_03-07,Block1_N_abs,2,5.5,5
3,MLBS_17-08,Block1_N_abs,3,2.6,5
4,TO_05-10,Block1_N_abs,4,2.1,5
5,PLE_01-03,Block1_N_abs,5,NA,NA
6,MLBS_14-07,Block1_N_abs,6,2,5
7,MLBS_02-02,Block1_N_abs,7,3.8,5
8,TO_07-05,Block1_N_abs,8,3.6,5
9,MLBS_10-03,Block1_N_abs,9,3.3,4
10,TO_04-05,Block1_N_abs,10,3.8,5
11,PLE_04-03,Block1_N_abs,11,3.9,5
12,TO_15-03,Block1_N_abs,12,3.9,5
13,TO_04-05,Block1_N_pres,13,2,3
14,PLE_01-03,Block1_N_pres,14,4,5
15,TO_15-03,Block1_N_pres,15,2.9,5
16,PLE_04-03,Block1_N_pres,16,3,5
17,TO_05-10,Block1_N_pres,17,2.4,4
18,MLBS_02-02,Block1_N_pres,18,1.7,5
19,MLBS_14-07,Block1_N_pres,19,1.6,4
20,MLBS_17-08,Block1_N_pres,20,3.3,5
21,PLE_02-02,Block1_N_pres,21,NA,NA
22,MLBS_10-03,Block1_N_pres,22,NA,NA
23,TO_07-05,Block1_N_pres,23,NA,NA
24,PLE_03-07,Block1_N_pres,24,NA,NA
25,MLBS_02-02,Block2_N_abs,25,3.1,4
26,PLE_04-03,Block2_N_abs,26,NA,NA
27,TO_07-05,Block2_N_abs,27,2.1,5
28,PLE_01-03,Block2_N_abs,28,2.8,4
29,TO_04-05,Block2_N_abs,29,3,4
30,MLBS_10-03,Block2_N_abs,30,NA,NA
31,MLBS_17-08,Block2_N_abs,31,1,4
32,TO_05-10,Block2_N_abs,32,NA,NA
33,PLE_02-02,Block2_N_abs,33,1,4
34,TO_15-03,Block2_N_abs,34,1.7,4
35,MLBS_14-07,Block2_N_abs,35,3.5,5
36,PLE_03-07,Block2_N_abs,36,2.1,3
37,PLE_04-03,Block2_N_pres,37,1.7,4
38,MLBS_10-03,Block2_N_pres,38,3,4
39,TO_15-03,Block2_N_pres,39,NA,NA
40,PLE_01-03,Block2_N_pres,40,2.4,4
41,MLBS_17-08,Block2_N_pres,41,2.9,4
42,TO_07-05,Block2_N_pres,42,NA,NA
43,PLE_03-07,Block2_N_pres,43,2.1,4
44,TO_04-05,Block2_N_pres,44,2.7,4
45,PLE_02-02,Block2_N_pres,45,3.1,5
46,TO_05-10,Block2_N_pres,46,1.7,4
47,MLBS_02-02,Block2_N_pres,47,2.9,4
48,MLBS_14-07,Block2_N_pres,48,1.6,4
49,PLE_01-03,Block3_N_abs,49,3.9,5
50,TO_05-10,Block3_N_abs,50,3.2,5
51,TO_07-05,Block3_N_abs,51,2.9,5
52,PLE_03-07,Block3_N_abs,52,2.8,4
53,TO_15-03,Block3_N_abs,53,3.1,6
54,PLE_04-03,Block3_N_abs,54,2.4,4
55,TO_04-05,Block3_N_abs,55,3.1,4
56,MLBS_10-03,Block3_N_abs,56,6,5
57,PLE_02-02,Block3_N_abs,57,3.3,5
58,MLBS_14-07,Block3_N_abs,58,3.3,5
59,MLBS_17-08,Block3_N_abs,59,2.9,5
60,MLBS_02-02,Block3_N_abs,60,NA,NA
61,TO_04-05,Block3_N_pres,61,2.6,5
62,MLBS_17-08,Block3_N_pres,62,3.3,5
63,TO_15-03,Block3_N_pres,63,2.2,5
64,MLBS_02-02,Block3_N_pres,64,NA,NA
65,PLE_04-03,Block3_N_pres,65,1.1,4
66,PLE_02-02,Block3_N_pres,66,2.4,5
67,MLBS_14-07,Block3_N_pres,67,3.2,5
